"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "XML", "JSON with Comments", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/helper/authentication.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 9, 72
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/next.config.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/package-lock.json", "JSON", 0, 0, 0, 0, 0, 7224, 0, 0, 0, 0, 1, 7225
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/package.json", "JSON", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 40
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/dev.db", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 88
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250308193447_add_sqlite/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250308194527_add_password_field/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 7, 1, 22
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250309162746_change_type_id/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 7, 1, 22
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250311165720_update_data_user/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 1, 26
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250312101216_fix_admin_role/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 18, 0, 7, 1, 26
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250313075642_extended_video_game_product/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 1, 18
"/home/mahdi/Work/Project/dashboard-app/dashboard-app/prisma/migrations/20250313083728_extended_video_game_product2/migration.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 24, 0, 7, 1, 32
